ဌ	Hta
ဌြ	Htya
ဌြက်	Htyet
ဌြင်	Htyin
ဌြင့်	Htyin
ဌြင်း	Htyin
ဌြစ်	Htyit
ဌြည်	Htyi
ဌြည့်	Htyi
ဌြည်း	Htyi
ဌြတ်	Htyat
ဌြန်	Htyan
ဌြန့်	Htyan
ဌြန်း	Htyan
ဌြပ်	Htyap
ဌြမ်	Htyam
ဌြမ့်	Htyam
ဌြမ်း	Htyam
ဌြယ်	Htyae
ဌြံ	Htyan
ဌြံ့	Htyan
ဌြာ	Htyar
ဌြာ့	Htyar
ဌြား	Htyar
ဌြိ	Htyi
ဌြိတ်	Htyeik
ဌြိန်	Htyein
ဌြိန့်	Htyein
ဌြိန်း	Htyein
ဌြိပ်	Htyeik
ဌြိမ်	Htyein
ဌြိမ့်	Htyein
ဌြိမ်း	Htyein
ဌြီ	Htyee
ဌြီး	Htyee
ဌြု	Htyu
ဌြုတ်	Htyok
ဌြုန်	Htyon
ဌြုန့်	Htyon
ဌြုန်း	Htyon
ဌြုပ်	Htyok
ဌြုံ	Htyon
ဌြုံ့	Htyon
ဌြုံး	Htyon
ဌြူ	Htyoo
ဌြူး	Htyoo
ဌြေ	Htyay
ဌြေ့	Htyay
ဌြေး	Htyay
ဌြဲ	Htyae
ဌြဲ့	Htyae
ဌြော	Htyaw
ဌြော့	Htyaw
ဌြောက်	Htyauk
ဌြောင်	Htyaung
ဌြောင့်	Htyaung
ဌြောင်း	Htyaung
ဌြော်	Htyaw
ဌြို	Htyo
ဌြို့	Htyo
ဌြိုး	Htyo
ဌြိုက်	Htyaik
ဌြိုင်	Htyaing
ဌြိုင့်	Htyaing
ဌြိုင်း	Htyaing
ဌွ	Htwa
ဌွက်	Htwet
ဌွင်	Htwin
ဌွင့်	Htwin
ဌွင်း	Htwin
ဌွတ်	Htwat
ဌွန်	Htwan
ဌွန့်	Htwan
ဌွန်း	Htwan
ဌွပ်	Htwap
ဌွမ်	Htwam
ဌွမ့်	Htwam
ဌွမ်း	Htwam
ဌွာ	Htwar
ဌွာ့	Htwar
ဌွား	Htwar
ဌွိ	Htwi
ဌွီ	Htwee
ဌွီး	Htwee
ဌွေ	Htway
ဌွေ့	Htway
ဌွေး	Htway
ဌွဲ	Htwae
ဌွဲ့	Htwae
ဌွော်	Htwaw
ဌျွ	Htywa
ဌျွက်	Htywet
ဌျွင်	Htywin
ဌျွင့်	Htywin
ဌျွင်း	Htywin
ဌျွတ်	Htywat
ဌျွန်	Htywan
ဌျွန့်	Htywan
ဌျွန်း	Htywan
ဌျွပ်	Htywap
ဌျွမ်	Htywam
ဌျွမ့်	Htywam
ဌျွမ်း	Htywam
ဌျွာ	Htywar
ဌျွာ့	Htywar
ဌျွား	Htywar
ဌျွိ	Htywi
ဌျွီ	Htywee
ဌျွီး	Htywee
ဌျွေ	Htyway
ဌျွေ့	Htyway
ဌျွေး	Htyway
ဌျွဲ	Htywae
ဌျွဲ့	Htywae
ဌျွော်	Htywaw
ဌြွ	Htywa
ဌြွက်	Htywet
ဌြွင်	Htywin
ဌြွင့်	Htywin
ဌြွင်း	Htywin
ဌြွတ်	Htywat
ဌြွန်	Htywan
ဌြွန့်	Htywan
ဌြွန်း	Htywan
ဌြွပ်	Htywap
ဌြွမ်	Htywam
ဌြွမ့်	Htywam
ဌြွမ်း	Htywam
ဌြွာ	Htywar
ဌြွာ့	Htywar
ဌြွား	Htywar
ဌြွိ	Htywi
ဌြွီ	Htywee
ဌြွီး	Htywee
ဌြွေ	Htyway
ဌြွေ့	Htyway
ဌြွေး	Htyway
ဌြွဲ	Htywae
ဌြွဲ့	Htywae
ဌြွော်	Htywaw
