ဎ	Dha
ဎြည်း	Dhyi
ဎြတ်	Dhyat
ဎြန်	Dhyan
ဎြန့်	Dhyan
ဎြန်း	Dhyan
ဎြပ်	Dhyap
ဎြမ်	Dhyam
ဎြမ့်	Dhyam
ဎြမ်း	Dhyam
ဎြယ်	Dhyae
ဎြံ	Dhyan
ဎြံ့	Dhyan
ဎြာ	Dhyar
ဎြာ့	Dhyar
ဎြား	Dhyar
ဎြိ	Dhyi
ဎြိတ်	Dhyeik
ဎြိန်	Dhyein
ဎြိန့်	Dhyein
ဎြိန်း	Dhyein
ဎြိပ်	Dhyeik
ဎြိမ်	Dhyein
ဎြိမ့်	Dhyein
ဎြိမ်း	Dhyein
ဎြီ	Dhyee
ဎြီး	Dhyee
ဎြု	Dhyu
ဎြုတ်	Dhyok
ဎြုန်	Dhyon
ဎြုန့်	Dhyon
ဎြုန်း	Dhyon
ဎြုပ်	Dhyok
ဎြုံ	Dhyon
ဎြုံ့	Dhyon
ဎြုံး	Dhyon
ဎြူ	Dhyoo
ဎြူး	Dhyoo
ဎြေ	Dhyay
ဎြေ့	Dhyay
ဎြေး	Dhyay
ဎြဲ	Dhyae
ဎြဲ့	Dhyae
ဎြော	Dhyaw
ဎြော့	Dhyaw
ဎြောက်	Dhyauk
ဎြောင်	Dhyaung
ဎြောင့်	Dhyaung
ဎြောင်း	Dhyaung
ဎြော်	Dhyaw
ဎြို	Dhyo
ဎြို့	Dhyo
ဎြိုး	Dhyo
ဎြိုက်	Dhyaik
ဎြိုင်	Dhyaing
ဎြိုင့်	Dhyaing
ဎြိုင်း	Dhyaing
ဎွ	Dhwa
ဎွက်	Dhwet
ဎွင်	Dhwin
ဎွင့်	Dhwin
ဎွင်း	Dhwin
ဎွတ်	Dhwat
ဎွန်	Dhwan
ဎွန့်	Dhwan
ဎွန်း	Dhwan
ဎွပ်	Dhwap
ဎွမ်	Dhwam
ဎွမ့်	Dhwam
ဎွမ်း	Dhwam
ဎွာ	Dhwar
ဎွာ့	Dhwar
ဎွား	Dhwar
ဎွိ	Dhwi
ဎွီ	Dhwee
ဎွီး	Dhwee
ဎွေ	Dhway
ဎွေ့	Dhway
ဎွေး	Dhway
ဎွဲ	Dhwae
ဎွဲ့	Dhwae
ဎွော်	Dhwaw
ဎျွ	Dhywa
ဎျွက်	Dhywet
ဎျွင်	Dhywin
ဎျွင့်	Dhywin
ဎျွင်း	Dhywin
ဎျွတ်	Dhywat
ဎျွန်	Dhywan
ဎျွန့်	Dhywan
ဎျွန်း	Dhywan
ဎျွပ်	Dhywap
ဎျွမ်	Dhywam
ဎျွမ့်	Dhywam
ဎျွမ်း	Dhywam
ဎျွာ	Dhywar
ဎျွာ့	Dhywar
ဎျွား	Dhywar
ဎျွိ	Dhywi
ဎျွီ	Dhywee
ဎျွီး	Dhywee
ဎျွေ	Dhyway
ဎျွေ့	Dhyway
ဎျွေး	Dhyway
ဎျွဲ	Dhywae
ဎျွဲ့	Dhywae
ဎျွော်	Dhywaw
ဎြွ	Dhywa
ဎြွက်	Dhywet
ဎြွင်	Dhywin
ဎြွင့်	Dhywin
ဎြွင်း	Dhywin
ဎြွတ်	Dhywat
ဎြွန်	Dhywan
ဎြွန့်	Dhywan
ဎြွန်း	Dhywan
ဎြွပ်	Dhywap
ဎြွမ်	Dhywam
ဎြွမ့်	Dhywam
ဎြွမ်း	Dhywam
ဎြွာ	Dhywar
ဎြွာ့	Dhywar
ဎြွား	Dhywar
ဎြွိ	Dhywi
ဎြွီ	Dhywee
ဎြွီး	Dhywee
ဎြွေ	Dhyway
ဎြွေ့	Dhyway
ဎြွေး	Dhyway
ဎြွဲ	Dhywae
ဎြွဲ့	Dhywae
ဎြွော်	Dhywaw
