ဍ	Da
ဍြိန်	Dyein
ဍြိန့်	Dyein
ဍြိန်း	Dyein
ဍြိပ်	Dyeik
ဍြိမ်	Dyein
ဍြိမ့်	Dyein
ဍြိမ်း	Dyein
ဍြီ	Dyee
ဍြီး	Dyee
ဍြု	Dyu
ဍြုတ်	Dyok
ဍြုန်	Dyon
ဍြုန့်	Dyon
ဍြုန်း	Dyon
ဍြုပ်	Dyok
ဍြုံ	Dyon
ဍြုံ့	Dyon
ဍြုံး	Dyon
ဍြူ	Dyoo
ဍြူး	Dyoo
ဍြေ	Dyay
ဍြေ့	Dyay
ဍြေး	Dyay
ဍြဲ	Dyae
ဍြဲ့	Dyae
ဍြော	Dyaw
ဍြော့	Dyaw
ဍြောက်	Dyauk
ဍြောင်	Dyaung
ဍြောင့်	Dyaung
ဍြောင်း	Dyaung
ဍြော်	Dyaw
ဍြို	Dyo
ဍြို့	Dyo
ဍြိုး	Dyo
ဍြိုက်	Dyaik
ဍြိုင်	Dyaing
ဍြိုင့်	Dyaing
ဍြိုင်း	Dyaing
ဍွ	Dwa
ဍွက်	Dwet
ဍွင်	Dwin
ဍွင့်	Dwin
ဍွင်း	Dwin
ဍွတ်	Dwat
ဍွန်	Dwan
ဍွန့်	Dwan
ဍွန်း	Dwan
ဍွပ်	Dwap
ဍွမ်	Dwam
ဍွမ့်	Dwam
ဍွမ်း	Dwam
ဍွာ	Dwar
ဍွာ့	Dwar
ဍွား	Dwar
ဍွိ	Dwi
ဍွီ	Dwee
ဍွီး	Dwee
ဍွေ	Dway
ဍွေ့	Dway
ဍွေး	Dway
ဍွဲ	Dwae
ဍွဲ့	Dwae
ဍွော်	Dwaw
ဍျွ	Dywa
ဍျွက်	Dywet
ဍျွင်	Dywin
ဍျွင့်	Dywin
ဍျွင်း	Dywin
ဍျွတ်	Dywat
ဍျွန်	Dywan
ဍျွန့်	Dywan
ဍျွန်း	Dywan
ဍျွပ်	Dywap
ဍျွမ်	Dywam
ဍျွမ့်	Dywam
ဍျွမ်း	Dywam
ဍျွာ	Dywar
ဍျွာ့	Dywar
ဍျွား	Dywar
ဍျွိ	Dywi
ဍျွီ	Dywee
ဍျွီး	Dywee
ဍျွေ	Dyway
ဍျွေ့	Dyway
ဍျွေး	Dyway
ဍျွဲ	Dywae
ဍျွဲ့	Dywae
ဍျွော်	Dywaw
ဍြွ	Dywa
ဍြွက်	Dywet
ဍြွင်	Dywin
ဍြွင့်	Dywin
ဍြွင်း	Dywin
ဍြွတ်	Dywat
ဍြွန်	Dywan
ဍြွန့်	Dywan
ဍြွန်း	Dywan
ဍြွပ်	Dywap
ဍြွမ်	Dywam
ဍြွမ့်	Dywam
ဍြွမ်း	Dywam
ဍြွာ	Dywar
ဍြွာ့	Dywar
ဍြွား	Dywar
ဍြွိ	Dywi
ဍြွီ	Dywee
ဍြွီး	Dywee
ဍြွေ	Dyway
ဍြွေ့	Dyway
ဍြွေး	Dyway
ဍြွဲ	Dywae
ဍြွဲ့	Dywae
ဍြွော်	Dywaw
